There was,Il y avait
We got to know each other,On a fait connaissance
A pain,Une douleur
First,Première
Social networks,Réseau sociaux
To resign,Démissionner
Eager - I'm eager,Hâte - j'ai hâte
Did you tell them?,Tu leurs a dit ?
From the agency,De l'agence
We'll have the news/an answer,On aura la nouvelle/une réponse
It was today,C'était aujourd'hui
I hope they'll like it,J'espère qu'ils vont aimer
Rent,Loyer
That will pay my rent,Ça va payer mon loyer
Over there,La-bàs
A lot,Beaucoup
Some friends,Quelques amis
At a jazz bar,À un bar de jazz
1 AM,1h du mat
The city center,Le centre ville
I always go,Je vais toujours
You can eat lots of different things,Tu peux manger pleins de choses différentes
Inside,À l'intérieur
Spices,Des épices
And if you want with minced meat,Et si tu veux avec de la viande hachés
Vine leaves,Vines leaves
A dish,Un plat
Pasta,Des pates
A tomato sauce,Une sauce de tomates
Can I show you,Est ce que je peux te montrer
Starchy food,Féculent
The beach,La plage
An ocean,Un ocean
A sea,Une mer
The Mediterranean Sea,La mer méditérranéen
She is a teacher - she's a teacher,Elle est prof - c'est une prof
They met,Ils se sont rencontrés
He met her,il l'a rencontré
In 1992,En 1992
Two years,Deux ans
They went to Munich one year before I was born,Ils sont allés à Munich un an avant que je sois né
To move (house),Déménager
A brother,Un frère
Soccer/Football,Du foot
He reached the highest level,Il a atteint le plus haut niveau
Do you look alike?,Vous vous ressemblez ?
I can show you a photo,Je peux te montrer une photo
For one reason or another,Pour une raison ou une autre
A beard,Une barbe
Darker,Plus foncé
It's all from my mother's side,C'est tout du côté de ma mère
His/Her children,Ses enfants
It's annoying (slang),C'est relou
It's annoying,C'est chiant
